id,film_id,actor_code,first_name,last_name
1,1,1PG,PENELOPE,GUINESS
2,1,10CG,CHRISTIAN,GABLE
3,1,20LT,LUCILLE,TRACY
4,1,30SP,SANDRA,PECK
5,1,40JC,JOHNNY,CAGE
6,1,53MT,MENA,TEMPLE
7,1,108WN,WARREN,NOLTE
8,1,162OK,OPRAH,KILMER
9,1,188RD,ROCK,DUKAKIS
10,1,198MK,MARY,KEITEL
11,2,19BF,BOB,FAWCETT
12,2,85MZ,MINNIE,ZELLWEGER
13,2,90SG,SEAN,GUINESS
14,2,160CD,CHRIS,DEPP
15,3,2NW,NICK,WAHLBERG
16,3,19BF,BOB,FAWCETT
17,3,24CS,CAMERON,STREEP
18,3,64RJ,RAY,JOHANSSON
19,3,123JD,JULIANNE,DENCH
20,4,41JD,JODIE,DEGENERES
21,4,81SD,SCARLETT,DAMON
22,4,88KP,KENNETH,PESCI
23,4,147FW,FAY,WINSLET
24,4,162OK,OPRAH,KILMER
25,5,51GP,GARY,PHOENIX
26,5,59DT,DUSTIN,TAUTOU
27,5,103ML,MATTHEW,LEIGH
28,5,181MC,MATTHEW,CARREY
29,5,200TT,THORA,TEMPLE
30,6,21KP,KIRSTEN,PALTROW
31,6,23SK,SANDRA,KILMER
32,6,62JN,JAYNE,NEESON
33,6,108WN,WARREN,NOLTE
34,6,137MW,MORGAN,WILLIAMS
35,6,169KH,KENNETH,HOFFMAN
36,6,197RW,REESE,WEST
37,7,99JM,JIM,MOSTEL
38,7,133RP,RICHARD,PENN
39,7,162OK,OPRAH,KILMER
40,7,170MH,MENA,HOPPER
41,7,185MB,MICHAEL,BOLGER
42,8,55FK,FAY,KILMER
43,8,96GW,GENE,WILLIS
44,8,110SD,SUSAN,DAVIS
45,8,138LD,LUCILLE,DEE
46,9,10CG,CHRISTIAN,GABLE
47,9,22EM,ELVIS,MARX
48,9,26RC,RIP,CRAWFORD
49,9,53MT,MENA,TEMPLE
50,9,68RW,RIP,WINSLET
51,9,108WN,WARREN,NOLTE
52,9,130GK,GRETA,KEITEL
53,9,175WH,WILLIAM,HACKMAN
54,9,194MA,MERYL,ALLEN
55,10,29AW,ALEC,WAYNE
56,10,35JD,JUDY,DEAN
57,10,37VB,VAL,BOLGER
58,10,64RJ,RAY,JOHANSSON
59,10,117RT,RENEE,TRACY
60,10,142JR,JADA,RYDER
61,10,157GM,GRETA,MALDEN
62,10,188RD,ROCK,DUKAKIS
63,11,40JC,JOHNNY,CAGE
64,11,81SD,SCARLETT,DAMON
65,11,90SG,SEAN,GUINESS
66,11,174MB,MICHAEL,BENING
67,12,37VB,VAL,BOLGER
68,12,75BP,BURT,POSEY
69,12,105SC,SIDNEY,CROWE
70,12,109SD,SYLVESTER,DERN
71,12,146AJ,ALBERT,JOHANSSON
72,12,177GM,GENE,MCKELLEN
73,12,180JS,JEFF,SILVERSTONE
74,13,77CM,CARY,MCCONAUGHEY
75,13,91CB,CHRISTOPHER,BERRY
76,13,94KT,KENNETH,TORN
77,13,114MM,MORGAN,MCDORMAND
78,13,176JC,JON,CHASE
79,14,28WH,WOODY,HOFFMAN
80,14,85MZ,MINNIE,ZELLWEGER
81,14,137MW,MORGAN,WILLIAMS
82,14,188RD,ROCK,DUKAKIS
83,15,36BD,BURT,DUKAKIS
84,15,69KP,KENNETH,PALTROW
85,15,105SC,SIDNEY,CROWE
86,15,117RT,RENEE,TRACY
87,15,164HW,HUMPHREY,WILLIS
88,15,170MH,MENA,HOPPER
89,16,12KB,KARL,BERRY
90,16,57JC,JUDE,CRUISE
91,16,146AJ,ALBERT,JOHANSSON
92,16,191GG,GREGORY,GOODING
93,16,192JS,JOHN,SUVARI
94,17,3EC,ED,CHASE
95,17,12KB,KARL,BERRY
96,17,13UW,UMA,WOOD
97,17,82WJ,WOODY,JOLIE
98,17,100SD,SPENCER,DEPP
99,17,160CD,CHRIS,DEPP
100,17,167LB,LAURENCE,BULLOCK
101,17,187RB,RENEE,BALL
102,18,45RK,REESE,KILMER
103,18,142JR,JADA,RYDER
104,18,144AW,ANGELA,WITHERSPOON
105,18,162OK,OPRAH,KILMER
106,19,5JL,JOHNNY,LOLLOBRIGIDA
107,19,27JM,JULIA,MCQUEEN
108,19,37VB,VAL,BOLGER
109,19,43KJ,KIRK,JOVOVICH
110,19,84JP,JAMES,PITT
111,19,104PC,PENELOPE,CRONYN
112,20,52CH,CARMEN,HUNT
113,20,102WT,WALTER,TORN
114,20,136EM,ED,MANSFIELD
115,20,139EG,EWAN,GOODING
116,20,155IT,IAN,TANDY
117,20,159LB,LAURA,BRODY
118,21,25KB,KEVIN,BLOOM
119,21,26RC,RIP,CRAWFORD
120,21,105SC,SIDNEY,CROWE
121,21,119WJ,WARREN,JACKMAN
122,21,126FT,FRANCES,TOMEI
123,22,77CM,CARY,MCCONAUGHEY
124,22,95DW,DARYL,WAHLBERG
125,22,122SN,SALMA,NOLTE
126,22,124SB,SCARLETT,BENING
127,23,1PG,PENELOPE,GUINESS
128,23,4JD,JENNIFER,DAVIS
129,23,22EM,ELVIS,MARX
130,23,150JN,JAYNE,NOLTE
131,23,164HW,HUMPHREY,WILLIS
132,24,38TM,TOM,MCKELLEN
133,24,42TM,TOM,MIRANDA
134,24,67JB,JESSICA,BAILEY
135,24,157GM,GRETA,MALDEN
136,24,179EG,ED,GUINESS
137,25,1PG,PENELOPE,GUINESS
138,25,4JD,JENNIFER,DAVIS
139,25,7GM,GRACE,MOSTEL
140,25,47JB,JULIA,BARRYMORE
141,25,91CB,CHRISTOPHER,BERRY
142,25,136EM,ED,MANSFIELD
143,25,166ND,NICK,DEGENERES
144,25,167LB,LAURENCE,BULLOCK
145,25,187RB,RENEE,BALL
146,26,71AG,ADAM,GRANT
147,26,128CM,CATE,MCQUEEN
148,26,130GK,GRETA,KEITEL
149,27,7GM,GRACE,MOSTEL
150,27,55FK,FAY,KILMER
151,27,99JM,JIM,MOSTEL
152,27,110SD,SUSAN,DAVIS
153,27,140WH,WHOOPI,HURT
154,27,148ED,EMILY,DEE
155,27,154MG,MERYL,GIBSON
156,27,170MH,MENA,HOPPER
157,27,179EG,ED,GUINESS
158,28,74MK,MILLA,KEITEL
159,28,162OK,OPRAH,KILMER
160,29,6BN,BETTE,NICHOLSON
161,29,13UW,UMA,WOOD
162,29,105SC,SIDNEY,CROWE
163,29,122SN,SALMA,NOLTE
164,29,175WH,WILLIAM,HACKMAN
165,29,187RB,RENEE,BALL
166,29,197RW,REESE,WEST
167,30,9JS,JOE,SWANK
168,30,163CW,CHRISTOPHER,WEST
169,30,178LM,LISA,MONROE
170,31,2NW,NICK,WAHLBERG
171,31,15CO,CUBA,OLIVIER
172,31,49AC,ANNE,CRONYN
173,31,60HB,HENRY,BERRY
174,32,79MH,MAE,HOFFMAN
175,32,158VB,VIVIEN,BASINGER
176,32,162OK,OPRAH,KILMER
177,32,168WW,WILL,WILSON
178,32,183RC,RUSSELL,CLOSE
179,33,79MH,MAE,HOFFMAN
180,33,82WJ,WOODY,JOLIE
181,33,136EM,ED,MANSFIELD
182,33,146AJ,ALBERT,JOHANSSON
183,33,162OK,OPRAH,KILMER
184,33,170MH,MENA,HOPPER
185,33,180JS,JEFF,SILVERSTONE
186,33,182DA,DEBBIE,AKROYD
187,34,12KB,KARL,BERRY
188,34,26RC,RIP,CRAWFORD
189,34,27JM,JULIA,MCQUEEN
190,34,40JC,JOHNNY,CAGE
191,34,57JC,JUDE,CRUISE
192,34,72SW,SEAN,WILLIAMS
193,34,75BP,BURT,POSEY
194,34,102WT,WALTER,TORN
195,34,112RB,RUSSELL,BACALL
196,34,126FT,FRANCES,TOMEI
197,34,157GM,GRETA,MALDEN
198,34,178LM,LISA,MONROE
199,35,7GM,GRACE,MOSTEL
200,35,35JD,JUDY,DEAN
201,35,95DW,DARYL,WAHLBERG
202,35,113MH,MORGAN,HOPKINS
203,35,118CA,CUBA,ALLEN
204,35,135RR,RITA,REYNOLDS
205,35,139EG,EWAN,GOODING
206,35,184HG,HUMPHREY,GARLAND
207,36,47JB,JULIA,BARRYMORE
208,36,73GP,GARY,PENN
209,36,96GW,GENE,WILLIS
210,36,116DS,DAN,STREEP
211,36,127KG,KEVIN,GARLAND
212,37,12KB,KARL,BERRY
213,37,64RJ,RAY,JOHANSSON
214,37,112RB,RUSSELL,BACALL
215,37,130GK,GRETA,KEITEL
216,38,46PG,PARKER,GOLDBERG
217,38,166ND,NICK,DEGENERES
218,38,190AB,AUDREY,BAILEY
219,39,65AH,ANGELA,HUDSON
220,39,84JP,JAMES,PITT
221,39,104PC,PENELOPE,CRONYN
222,39,118CA,CUBA,ALLEN
223,39,145KA,KIM,ALLEN
224,39,177GM,GENE,MCKELLEN
225,39,191GG,GREGORY,GOODING
226,40,3EC,ED,CHASE
227,40,77CM,CARY,MCCONAUGHEY
228,40,79MH,MAE,HOFFMAN
229,40,96GW,GENE,WILLIS
230,40,104PC,PENELOPE,CRONYN
231,40,181MC,MATTHEW,CARREY
232,40,183RC,RUSSELL,CLOSE
233,41,118CA,CUBA,ALLEN
234,41,135RR,RITA,REYNOLDS
235,41,162OK,OPRAH,KILMER
236,42,3EC,ED,CHASE
237,42,23SK,SANDRA,KILMER
238,42,43KJ,KIRK,JOVOVICH
239,42,62JN,JAYNE,NEESON
240,42,105SC,SIDNEY,CROWE
241,42,117RT,RENEE,TRACY
242,42,194MA,MERYL,ALLEN
243,43,28WH,WOODY,HOFFMAN
244,43,34AO,AUDREY,OLIVIER
245,43,123JD,JULIANNE,DENCH
246,43,126FT,FRANCES,TOMEI
247,43,130GK,GRETA,KEITEL
248,43,141CH,CATE,HARRIS
249,43,160CD,CHRIS,DEPP
250,43,161HH,HARVEY,HOPE
251,43,189CB,CUBA,BIRCH
252,44,18DT,DAN,TORN
253,44,74MK,MILLA,KEITEL
254,44,106GD,GROUCHO,DUNST
255,44,193BT,BURT,TEMPLE
256,45,13UW,UMA,WOOD
257,45,68RW,RIP,WINSLET
258,45,73GP,GARY,PENN
259,45,163CW,CHRISTOPHER,WEST
260,46,59DT,DUSTIN,TAUTOU
261,46,65AH,ANGELA,HUDSON
262,46,84JP,JAMES,PITT
